Shipment_ID,Origin,Destination,Cargo_Type,Weight_kg,Volume_m3,Departure_Date,Arrival_Date,Carrier,Cost_USD,Status,Priority,Packaging_Type,Customer_ID,Tracking_Number,Warehouse_Location,Transit_Time_Days,Distance_km,Num_Checkpoints,Temperature_C,Humidity_Percent,Delay_Hours,Fuel_Consumed_L,CO2_Emissions_kg,Handling_Events,Insurance_Value_USD,Cargo_Value_USD,Customs_Fees_USD,No_of_Items,Vibration_Events,Transport_Method
S1010,Port Robin,West Jeffrey,Automotive,758.24,31.6,08-07-2025,13-07-2025,RapidTrans,1827.74,Awaiting Pickup,Low,Crate,3a47f952-0f05-408c-97bb-700a5e234a67,3.07576E+12,Lawrencestad,2,1507,5,10.2,51,0,5136,13764.48,6,25498,103240,359,995,9,Rail
S1011,Lake Micheleberg,Josephton,Food,1416.35,2.79,15-07-2025,29-07-2025,EcoFreight,2390.25,Awaiting Pickup,High,Container,8d1df874-08d0-4bbc-9d28-e91fe3bd172f,5.32748E+12,New Deborah,2,1892,5,33.3,50,0,14284.3,38281.92,3,19874,123093,2494,403,0,Road
S1012,Jonathanstad,Rogersville,Electronics,4688.43,57.24,20-07-2025,26-07-2025,RapidTrans,6539.83,Delayed,Medium,Crate,70ae9cd0-d850-4440-9039-9132b1c47549,9.80986E+11,Craigmouth,4,2558,3,5.3,65,5,62691.6,168013.49,1,27730,145888,1248,415,4,Road
S1013,South Zacharyland,Robbinsville,Chemicals,1749.63,16.52,25-08-2025,27-08-2025,FastTrack,3074.33,Delivered,Medium,Pallet,b07b21f7-0ff0-4231-844c-cb0531b03ebc,9.90163E+12,East Jenniferburgh,3,2319,4,33.7,34,0,10551,28276.68,5,24520,100437,2198,1073,12,Road
S1014,Richardborough,Port Jenniferhaven,Food,1149.3,,13-07-2025,25-07-2025,RapidTrans,,Delivered,Medium,Crate,bf1f480d-148b-4d81-a77e-df40715d1426,4.89848E+11,Lisamouth,3,3588,2,26.3,68,0,6701.8,17960.82,5,24769,149032,264,1216,3,Rail
S1015,Richardborough,Donnachester,Electronics,2183.63,78.35,15-08-2025,19-08-2025,CargoIndia,5126.63,Delivered,Low,Pallet,3881818d-1dba-4955-9809-8608b79b6df7,1.44233E+12,Edgarview,4,4319,6,-2.4,37,0,24779.9,66410.13,2,2933,147663,1779,162,15,Air
S1016,Port Jenniferhaven,Richardborough,Furniture,4722.32,10.17,30-07-2025,03-08-2025,FastTrack,6748.52,In Transit,Medium,Pallet,30c33b8c-552d-41f3-ab5f-1779347277e8,9.3421E+12,Port Dorothybury,4,3849,1,24.5,84,0,81409.3,218176.92,5,16723,112393,3388,1333,1,Road
S1017,Richardborough,Donnachester,Furniture,517.66,65.59,31-07-2025,05-08-2025,CargoIndia,1354.56,Delayed,Medium,Crate,c6cf0b5f-1e97-49fb-a304-b3effc9ee610,2.63565E+12,East Rickyton,2,362,4,14.8,11,0,899.3,2410.12,3,1370,69711,709,1176,12,Road
S1018,Crystalshire,West Marieland,Chemicals,,86.66,04-07-2025,17-07-2025,EcoFreight,,Awaiting Pickup,Medium,Pallet,30089030-0b51-448c-b63e-4bf58b21cef4,7.84854E+12,Lake Lynnberg,3,2482,2,36.2,34,0,19976.3,53536.48,1,18628,34694,2590,594,9,Road
S1019,Josephton,Brownshire,Machinery,1833.2,91.41,03-07-2025,12-07-2025,CargoIndia,2986.3,Delivered,High,Box,9bfa0da3-58bc-4bdd-a9bd-b32b34b28e72,8.87881E+12,North Marcus,2,478,4,32.1,57,0,2660.6,7130.41,1,14684,75802,2269,1418,4,Rail
S1020,Port Robin,New Yeseniaville,Food,1452.3,61.44,03-07-2025,11-07-2025,BlueCargo,4504.2,In Transit,Low,Pallet,eb6cb0d1-3c57-4091-a1ce-d483426018ac,2.84363E+11,Port Adam,2,4875,1,23,52,0,24829.9,66544.13,3,18541,122318,2398,915,5,Air
S1021,South Zacharyland,Bakermouth,Machinery,2372.45,49.56,03-08-2025,15-08-2025,FastTrack,5119.05,Awaiting Pickup,High,Pallet,f1e3cb9d-251a-4637-bc6b-5430a6507846,7.42259E+12,Westburgh,6,4502,6,-1.9,41,0,17913.9,48009.25,5,8409,120285,2447,715,7,Ship
S1022,Robbinsville,Stephensmouth,Apparel,2691.31,21.29,29-06-2025,13-07-2025,RapidTrans,3588.21,Delayed,High,Container,ac79826b-4764-4213-9aa2-923327c41700,4.82987E+12,North Stephaniemouth,2,1368,5,3.5,77,23,21985.5,58921.14,5,12100,102967,2787,1146,8,Road
S1023,Crystalshire,Jonathanstad,Chemicals,1665.81,64.74,07-07-2025,18-07-2025,BlueCargo,3154.21,In Transit,Medium,Crate,e8d00315-4627-4868-90af-eb685f726219,2.70899E+12,East Miranda,2,1682,3,25.1,83,0,8426,22581.68,2,5872,20191,1954,896,4,Rail
S1024,Buchananchester,Port Jenniferhaven,Books,3806.01,58.32,05-08-2025,16-08-2025,RapidTrans,6302.71,Delivered,Low,Pallet,2d724270-abd7-4b91-81d8-55f97f3397e0,5.04316E+11,Sanchezberg,4,3827,3,-4.1,44,0,72631,194651.08,3,22978,26394,1755,1290,1,Rail
S1025,Nancymouth,South Zacharyland,Electronics,1894.35,11.06,17-07-2025,24-07-2025,BlueCargo,4499.95,Delivered,Low,Box,7c1074b1-070a-4cfd-aa8a-e028e68f36dc,8.80882E+12,Aaronbury,10,4990,3,13.9,73,0,,,5,7541,65323,343,728,4,Ship
S1026,Nancymouth,Buchananchester,Machinery,207.59,6.94,11-07-2025,21-07-2025,BlueCargo,1358.49,Awaiting Pickup,Low,Box,74544d48-a8db-4dff-8cef-713c02ad2054,4.92118E+12,North Emilyview,4,2163,4,23.9,79,0,2635,7061.8,5,6700,65429,1401,1227,0,Road
S1027,Michaelshire,Michaelshire,Furniture,1120.84,45.3,22-08-2025,28-08-2025,BlueCargo,2166.34,Awaiting Pickup,Medium,Pallet,397ca51a-9547-4069-9c88-fec600a7dd90,3.40676E+12,Lake Whitneychester,3,1185,2,2.1,82,0,2739,7340.52,6,17800,113815,3338,330,15,Road
S1028,Richardborough,Brownshire,Pharmaceuticals,2531.07,40.55,03-08-2025,17-08-2025,BlueCargo,3557.07,Delayed,Medium,Crate,95269229-8ec6-4494-8bcb-557cdf9a4f1a,1.94824E+11,Zacharyburgh,4,1241,1,21.3,48,1,14667.3,39308.36,1,14520,129041,212,122,10,Rail
S1029,Robbinsville,Gomezton,Pharmaceuticals,1592.38,5.72,24-07-2025,28-07-2025,FastTrack,3228.08,Delivered,High,Box,5bc714e0-8bb6-4b2d-803a-71823cfd8136,5.42092E+12,Port Debra,2,3157,1,4.9,33,0,21052.2,56419.9,6,9710,107575,935,563,9,Road
S1030,Port Robin,South Zacharyland,Machinery,3285.64,92.31,18-07-2025,20-07-2025,EcoFreight,6649.24,Delivered,Medium,Crate,03f1e396-3055-44c9-96ba-42613030a9d8,8.32454E+12,West Edwardtown,1,4881,2,9.9,64,0,20692.6,55456.17,1,24056,64516,593,1029,3,Air
S1031,Nancymouth,Buchananchester,Food,4852.89,80.18,17-08-2025,29-08-2025,RapidTrans,5727.69,In Transit,High,Pallet,a68d42b3-8f81-496e-89b6-99b61336471d,1.00823E+12,South Andrewborough,3,146,4,9.8,85,0,3768.1,10098.51,7,28551,34126,608,1494,10,Rail
S1032,Port Jenniferhaven,Port Jenniferhaven,Machinery,4054.03,39.37,12-08-2025,15-08-2025,CargoIndia,6411.73,Delayed,High,Crate,b9a67d29-2be5-4e9b-8b8a-6965f8de5b70,6.08963E+12,Georgestad,5,3928,5,37.9,71,6,20240.7,54245.08,7,24646,67551,274,724,2,Road
S1033,Jonathanstad,Crystalshire,Apparel,821.49,68.27,13-08-2025,21-08-2025,CargoIndia,,Delivered,Medium,Pallet,5bcf3012-7241-4acd-8761-1f101fac5483,6.05604E+12,Lake Josefurt,,,5,-0.4,68,0,2758.6,7393.05,3,6684,98884,2564,212,9,Rail
S1034,West Jeffrey,Richardview,Electronics,609.71,36.47,22-08-2025,27-08-2025,EcoFreight,1815.41,In Transit,Low,Box,ce7ddbb3-e086-4869-97f2-2f3d54a68c87,7.87171E+12,Sanchezfurt,1,1682,5,8.9,51,0,3991.6,10697.49,6,25266,146608,560,898,0,Air
S1035,Bakermouth,Richardview,Pharmaceuticals,1906.57,98.5,03-07-2025,05-07-2025,FastTrack,3295.57,Delivered,High,Crate,cd7ca7ad-c806-4ff3-a31b-3085d74b1b30,2.60835E+12,Donaldchester,2,808,3,4.5,53,0,3388,9079.84,4,15258,149338,466,1253,7,Road
S1036,Port Christopherport,Michaelshire,Apparel,,10.5,04-07-2025,07-07-2025,CargoIndia,,Delivered,Medium,Container,6b9dff6c-dec1-409f-aece-34e98dc90f7d,2.61834E+12,Lake Andrewland,6,2275,4,4.4,84,0,20383.9,54628.85,6,21898,122494,560,617,3,Ship
S1037,South Zacharyland,Nancymouth,Apparel,4306.46,,14-07-2025,18-07-2025,BlueCargo,,Awaiting Pickup,High,Container,2db82cf9-665c-46f6-accd-572019337881,6.16471E+12,Johnburgh,2,908,2,27.7,77,0,12834.8,34397.26,1,7414,123837,1094,365,10,Rail
S1038,West Marieland,New Yeseniaville,Books,4297.6,99.67,01-07-2025,11-07-2025,RapidTrans,6116.8,Awaiting Pickup,Medium,Crate,3f7a6cd8-aac4-4cb8-98ea-044d4977bf1b,8.88636E+12,West Davidshire,2,1645,2,28,71,0,38784.7,103943,6,11774,7483,3383,175,15,Air
S1039,Crystalshire,Josephton,Chemicals,2686.6,41.08,30-07-2025,09-08-2025,CargoIndia,3983.4,Delayed,Low,Box,6d12fd84-e686-4557-8c5f-825404cf8968,7.1737E+11,Codystad,4,1772,4,27.3,33,7,14669.3,39313.72,3,10050,147924,1887,1470,15,Road
S1040,Port Jenniferhaven,Stephensmouth,Food,4872.52,77.37,08-07-2025,18-07-2025,CargoIndia,6150.72,In Transit,High,Pallet,7512ffa7-6244-46a4-b0ba-b57729e407d1,5.74906E+12,North Joshuaport,2,1009,4,24.6,48,0,23913.2,64087.38,2,6725,67939,2158,745,3,Rail
S1041,Bakermouth,Nancymouth,Automotive,232.97,10.54,06-08-2025,17-08-2025,EcoFreight,2018.87,Awaiting Pickup,Medium,Container,3b823c9e-695b-45d8-958f-5c0d4d02e9d4,9.93975E+12,Port Catherine,3,3361,1,32.9,35,0,2654.5,7114.06,3,2883,10464,254,1258,10,Road
S1042,Gomezton,West Tylerland,Electronics,636.39,85.9,09-08-2025,12-08-2025,EcoFreight,3434.39,Delivered,Medium,Pallet,85e03008-efb8-404d-a947-46c4307dd1c1,1.08209E+12,Kellystad,5,3878,3,31.6,16,0,7553.2,20242.58,4,12188,99074,2418,469,10,Road
S1043,Josephton,South Zacharyland,Electronics,3298.08,10.65,11-08-2025,22-08-2025,CargoIndia,5367.08,Delayed,Medium,Container,5abec73c-b9dc-48f8-a0e9-dbd46d1ce223,6.68365E+12,Ashleymouth,3,3925,5,4.1,60,18,21367.8,57265.7,4,3252,97460,1826,1440,12,Air
S1044,Hannahfurt,Nancymouth,Books,1555.09,20.13,19-07-2025,31-07-2025,FastTrack,4153.89,Delayed,Medium,Box,e7656c17-53f9-4b7a-ba0a-d63faa6f22fd,6.12467E+12,Muellerburgh,6,4795,2,2.8,76,5,43160,115668.8,7,3345,56883,2742,1493,10,Air
S1045,Brownshire,Richardborough,Electronics,564.74,66.23,20-08-2025,28-08-2025,EcoFreight,2668.04,Delivered,Medium,Pallet,d1392746-e968-499a-9ac2-aecf90879f67,6.4338E+11,New Mariah,5,2882,3,32.5,13,0,7004.6,18772.33,5,10121,93939,1105,442,2,Road
S1046,Richardborough,Oliviaville,Books,4360.69,63.07,03-08-2025,09-08-2025,CargoIndia,6254.89,Delivered,Medium,Pallet,de3ae717-35d4-4fc5-9dbb-dbc2fbe5bbdf,4.76101E+12,Lake Justinchester,4,2527,5,22.5,68,0,46259.7,123976,5,10880,93428,3445,282,3,Road
S1047,Nancymouth,Bakermouth,Chemicals,314.85,16.61,22-08-2025,27-08-2025,FastTrack,581.45,Delayed,Low,Crate,5d43a14d-71f9-486d-88ef-b1df84a2f9e3,3.11096E+11,Maryshire,2,201,1,29.2,50,23,88.7,237.72,2,16327,107134,701,301,7,Rail
S1048,Brownshire,Port Jenniferhaven,Food,1545.64,70.62,30-06-2025,14-07-2025,BlueCargo,4306.34,In Transit,Low,Pallet,581536f9-3e98-4cec-82fb-74118c707ba4,4.20797E+12,Micheleville,10,4109,6,9.3,46,0,24789.6,66436.13,3,3622,89720,697,686,14,Ship
S1049,Bakermouth,Donnachester,Electronics,148.92,23.08,05-08-2025,13-08-2025,FastTrack,2108.22,Delayed,Medium,Crate,b4628e62-d94f-47a8-95f4-ffa120548339,6.227E+12,South Douglas,2,3457,4,30.2,49,0,959.4,2571.19,3,18300,69877,3147,96,11,Road
S1050,Jonathanstad,Fosterland,Machinery,2626.1,57.39,24-07-2025,07-08-2025,RapidTrans,4266,Delayed,High,Crate,ec3317eb-0ca4-4c93-b1f7-a62be9d9582b,7.66506E+12,Walkerton,3,2132,4,29.8,48,28,32129.9,86108.13,3,5218,18242,180,1459,4,Road
S1051,Coxchester,Fosterland,Machinery,435.33,14.52,20-08-2025,31-08-2025,FastTrack,1994.03,Delayed,Low,Pallet,f8bd3793-fa86-4e74-b764-09d14196d905,4.60287E+12,West Natashastad,5,2827,5,31.7,15,2,6292.3,16863.36,1,3650,54621,793,122,10,Road
S1052,South Zacharyland,Oliviaville,Automotive,2140.67,8.07,25-08-2025,08-09-2025,BlueCargo,4121.37,Delivered,Low,Box,bcfa50c9-404c-4501-9fe9-52787e792396,3.66658E+12,Gonzalezfort,2,3800,3,8.8,68,0,30896.5,82802.62,3,5929,55882,1194,652,14,Air
S1053,Bakermouth,Richardview,Chemicals,4352.36,57.25,09-08-2025,11-08-2025,EcoFreight,6725.86,In Transit,Medium,Pallet,91d704bf-a3ae-4689-9a8f-94fe3da2ecf3,5.27303E+11,Alisonside,0,3602,1,-0.4,16,0,47689.9,127808.93,3,12314,101581,1403,439,15,Air
S1054,Lake Micheleberg,Jonathanstad,Chemicals,4117.13,41.79,09-07-2025,16-07-2025,CargoIndia,5086.03,In Transit,Low,Crate,6e737a8e-0ca6-43ae-bd06-8206fef923ce,5.73657E+12,North Sarahside,4,1102,5,9.3,12,0,20803.6,55753.65,5,1722,26694,971,1473,2,Road
S1055,Gomezton,Richardview,Chemicals,2493.05,8.53,22-07-2025,04-08-2025,EcoFreight,4691.85,Delayed,Low,Crate,7b17a476-68c9-4d40-bbb5-c27e89d86035,1.69072E+12,Josephhaven,10,4227,5,-3.4,29,0,,,6,27498,121107,513,86,0,Ship
S1056,Buchananchester,Richardborough,Machinery,1798.77,47.75,06-08-2025,09-08-2025,CargoIndia,3794.77,In Transit,Medium,Box,4df99c5f-7258-4bc3-add5-8a7444173f96,1.76474E+12,South Nicholas,5,3037,4,18,35,0,21536.7,57718.36,7,17162,29132,1981,1457,12,Rail
S1057,Brownshire,West Tylerland,Books,2748.67,91.86,07-08-2025,15-08-2025,BlueCargo,5801.77,In Transit,Low,Crate,bf30a9e0-fdab-42d9-a7a6-262bb5e30f90,6.09951E+12,North Thomasview,2,4269,3,17.1,85,0,,,3,16150,17461,1561,1106,15,Air
S1058,Coxchester,Hannahfurt,Books,1953.34,51.15,05-07-2025,09-07-2025,RapidTrans,3398.34,Delivered,Medium,Container,cf1fedf7-772c-4f82-838a-dae939262b8d,1.40825E+12,Andrewburgh,2,1867,1,29.5,81,0,11972.3,32085.76,5,21977,144325,1033,665,10,Rail
S1059,North Allisonberg,Buchananchester,Automotive,873.3,86.13,29-07-2025,03-08-2025,EcoFreight,2751.1,Awaiting Pickup,Medium,Pallet,1afcd1d7-224a-4de0-9b95-31a36c3673ce,5.66491E+12,South Jeffreyville,3,2033,1,-2.7,84,0,8414.6,22551.13,5,1966,59368,582,506,5,Rail
S1060,Rogersville,Port Robin,Chemicals,1599.99,29.74,22-07-2025,04-08-2025,EcoFreight,2532.39,In Transit,Low,Box,a01997b9-f13f-4279-b325-0ec477db0d3f,9.24755E+12,Lake Scotthaven,1,1270,6,14.4,43,0,6355.7,17033.28,5,17075,115036,3486,195,1,Road
S1061,Edwardville,Port Jenniferhaven,Chemicals,1791.77,68.79,22-08-2025,31-08-2025,BlueCargo,4263.67,Delivered,Medium,Crate,74c5f85e-bf33-4b84-bddf-ca9d2e09bc06,4.97014E+12,Jamesmouth,3,3568,1,16.5,62,0,19810.6,53092.41,3,21286,37709,925,396,11,Rail
S1062,Fosterland,West Tylerland,Chemicals,3421.27,56.09,27-07-2025,31-07-2025,BlueCargo,5675.17,Delayed,Medium,Pallet,fa25cf64-1a0f-41f9-bf5a-4fa8fd1b512b,8.22294E+12,Wrightville,0,3386,6,12,31,14,42867.3,114884.36,2,14061,51573,1286,1408,9,Air
S1063,Coxchester,Fosterland,Books,550.16,23.97,30-06-2025,10-07-2025,CargoIndia,2513.36,Delayed,Low,Box,4f4a22a9-0875-41aa-ac2f-325f23b7c385,1.49956E+12,South Carlaburgh,11,3447,4,36.2,76,2,4287.2,11489.7,4,2752,70952,3327,1334,10,Ship
S1064,Lake Todd,Port Robin,Apparel,2984.91,66.82,19-07-2025,22-07-2025,EcoFreight,4287.61,Delayed,High,Crate,f05d89ed-13ca-4589-a283-bb17e8a124f5,9.91792E+12,New Melissamouth,1,1269,2,32.2,37,0,15214.6,40775.13,4,9910,18424,703,208,14,Road
S1065,Richardview,New Yeseniaville,Books,1141.52,81.68,14-07-2025,19-07-2025,BlueCargo,4052.32,In Transit,High,Box,3e4a071b-cb8b-4196-9c2a-b9d116194da8,9.29193E+12,Lake Lisaton,7,4188,6,24.7,51,0,19006.4,50937.15,4,9865,110443,1161,469,15,Ship
S1066,Richardborough,Port Jenniferhaven,Chemicals,1265.56,59.81,05-07-2025,14-07-2025,BlueCargo,,Awaiting Pickup,Medium,Container,dc0d6d4f-fac8-4e8f-8189-beee50e5ad32,6.95342E+12,New Valeriemouth,,,4,37.2,51,0,835,2237.8,7,28976,56344,403,1027,12,Rail
S1067,Jonathanstad,Michaelshire,Food,3739.21,23.49,04-07-2025,12-07-2025,EcoFreight,5326.61,Delivered,Medium,Crate,4c3f758d-ba05-48e9-a1a7-c57d2ddce587,9.63053E+12,Jameschester,5,2705,6,7.3,90,0,32682.5,87589.1,1,1454,26054,46,784,14,Rail
S1068,Crystalshire,Richardview,Pharmaceuticals,3178.68,24.33,27-06-2025,07-07-2025,CargoIndia,3585.98,Awaiting Pickup,High,Crate,8cba9166-f9c3-4fab-8073-ecbb2ada3a6e,9.82266E+12,West Lauraside,2,328,1,-0.2,83,0,5814.6,15583.13,5,28084,123876,2129,1391,1,Road
S1069,Brownshire,Richardview,Pharmaceuticals,2978.41,21.44,08-08-2025,19-08-2025,FastTrack,5025.31,Awaiting Pickup,Medium,Box,4ce9ebb8-356d-4893-a1ed-a01ee4a54543,5.26815E+12,Timothyburgh,5,3665,4,4.9,25,0,48443.8,129829.38,6,7128,99787,3366,217,0,Rail
S1070,West Tylerland,West Marieland,Books,4282.37,93.79,22-07-2025,24-07-2025,CargoIndia,5395.77,In Transit,Low,Container,86eb2869-863d-4588-b23e-0124cf3979c8,1.79918E+12,Karenland,1,351,5,7.4,20,0,7149.9,19161.73,4,21551,108206,166,804,8,Rail
S1071,Stephensmouth,Bakermouth,Machinery,3620.77,91,27-07-2025,03-08-2025,RapidTrans,5589.77,Awaiting Pickup,Medium,Box,df07cb99-c603-4495-babf-f1fcf1f4856b,2.78202E+12,South Katie,1,2118,1,2.9,27,0,16770.4,44944.67,7,23059,48945,39,826,12,Rail
S1072,Lake Todd,Gomezton,Chemicals,286.46,81.53,19-08-2025,25-08-2025,CargoIndia,2573.76,Awaiting Pickup,Medium,Crate,86f041b6-a1bf-4dec-aa99-0aa9dfa2984a,1.27667E+12,South Jorgeberg,5,2944,5,4,58,0,2112.5,5661.5,1,29152,45500,1845,1419,1,Road
S1073,Jonathanstad,Bakermouth,Furniture,1369.36,64.19,22-07-2025,03-08-2025,BlueCargo,3375.26,Delivered,Medium,Pallet,c025fab3-51fa-45fb-9c94-5a8a38af7e19,1.61337E+12,Carolynmouth,2,2728,2,28.2,54,0,21396.4,57342.35,6,19388,82686,504,78,10,Road
S1074,Port Christopherport,Brownshire,Pharmaceuticals,1751.19,85.03,01-08-2025,06-08-2025,EcoFreight,5094.49,In Transit,Low,Container,141b8fbb-495f-4a73-9025-6ad7afe40e48,5.5425E+12,Barkerbury,1,4986,3,0.5,26,0,45015.2,120640.74,6,26903,7773,1143,245,10,Air
S1075,Rogersville,Robbinsville,Food,1309,29.49,02-08-2025,11-08-2025,RapidTrans,2622.9,Delivered,Low,Pallet,fd324723-7168-4825-9cda-1b949d412930,1.24616E+12,Carolland,7,2038,2,31.1,51,0,10385.8,27833.94,3,2696,143510,914,319,1,Ship
S1076,North Allisonberg,Richardview,Machinery,532.37,2,28-07-2025,11-08-2025,BlueCargo,1645.37,Awaiting Pickup,Medium,Crate,98a57ff9-a49b-4c2e-9956-bbfed15e56a3,4.38938E+12,Leeborough,4,2186,5,28.5,71,0,6751.5,18094.02,7,28877,69058,,1248,9,Rail
S1077,Michaelshire,Stephensmouth,Food,697.76,51.87,13-07-2025,27-07-2025,RapidTrans,3123.96,Awaiting Pickup,Low,Container,1985ad8e-83b4-4294-be22-e3fb1f85953f,1.49418E+12,Matthewton,4,3815,4,31,25,0,12421.3,33289.08,3,8475,42561,3230,765,13,Air
S1078,Josephton,Richardborough,Food,4569.8,17.43,16-08-2025,26-08-2025,FastTrack,5603.1,Awaiting Pickup,Medium,Pallet,8f9e0a06-53f0-42f1-8cda-9dfe38a42591,8.11451E+12,East Nathan,4,1718,3,36.8,60,0,31097.8,83342.1,1,9259,53177,444,241,13,Rail
S1079,Lake Jacobview,Coxchester,Chemicals,527.45,2.65,11-08-2025,23-08-2025,BlueCargo,1559.45,Delivered,High,Pallet,c1683c21-34e1-4840-9e40-2eeda6326c65,5.86684E+12,Gayhaven,3,2011,2,10.6,41,0,3253.3,8718.84,3,15894,21302,182,1030,6,Road
S1080,Port Christopherport,Coxchester,Electronics,418.11,90.31,01-08-2025,04-08-2025,CargoIndia,2311.71,Delivered,High,Container,41a42da4-4d47-411c-82f0-2ea8c575dd38,7.79519E+12,Port Meganside,4,1981,5,29.5,17,0,,,3,18510,60559,1989,1173,2,Rail
S1081,Gomezton,Lake Micheleberg,Books,2884.07,56.64,25-07-2025,04-08-2025,CargoIndia,,Delayed,High,Container,2c0c981f-517b-417f-b547-3cfbaa6b9ed8,8.00859E+12,South Ericchester,,,5,4.1,78,14,21751,58292.68,5,28049,42462,2143,838,6,Road
S1082,Lake Jacobview,Lake Jacobview,Apparel,2238.12,17.27,11-08-2025,25-08-2025,CargoIndia,3519.32,In Transit,Low,Crate,bec97e19-f05c-418f-95b1-8dd2b4fd3450,6.43635E+12,New Johnny,4,2217,5,18.6,22,0,6427.3,17225.16,1,8655,46863,3394,346,8,Rail
S1083,East Shannonmouth,Nancymouth,Pharmaceuticals,203.42,2.3,23-08-2025,26-08-2025,RapidTrans,2164.92,Delivered,Low,Container,ebec32a9-0f55-4e16-b5d9-0234c8e8a0db,6.28778E+12,North Terrihaven,5,3877,2,11.3,45,0,1042.9,2794.97,6,22637,46893,3251,1442,8,Road
S1084,Port Jenniferhaven,Port Jenniferhaven,Food,3078.87,17.72,07-07-2025,12-07-2025,RapidTrans,4354.57,Awaiting Pickup,High,Box,d6274be1-57d3-4ed6-9c31-5a8fe9db864b,5.15967E+12,Madisonborough,2,2197,1,25.3,89,0,,,7,5226,106040,2383,670,3,Road
S1085,Lake Jacobview,Oliviaville,Apparel,,45,13-08-2025,25-08-2025,CargoIndia,,Awaiting Pickup,Low,Container,9682cb40-4d4e-4e12-9430-5a18aaf950c9,7.11485E+12,Mcmillanview,2,3536,4,25.2,70,0,50069.1,134185.19,1,4460,26919,1698,113,4,Road
S1086,Port Jenniferhaven,Richardborough,Books,4007.21,,12-07-2025,17-07-2025,BlueCargo,,Delivered,Medium,Crate,b2fa6e5f-7b8f-4a83-8f1c-0447a9825a1d,7.33621E+12,Lake Nathan,4,1331,6,17.5,85,0,8503.8,22790.18,1,14711,111764,305,435,15,Rail
